Termo;Setor/Área;Explicação Simples;Setor Econômico
Market Price Correlation;Agricultura;Correlação entre preços locais e bolsas internacionais no BI financeiro.;Primário
Market Saturation;Startups;Ponto onde o crescimento desacelera pois a maioria do mercado já foi atingida.;Terciário (Majoritariamente)
Market Segmentation;Marketing;Divisão do mercado em grupos com necessidades similares.;Terciário
Market Segmentation;Automobilístico;Divisão do mercado em perfis (B2B, B2C, PCD, Taxistas).;Secundário
Market Share;Varejo;Participação de mercado de uma empresa em relação ao total do setor.;Terciário
Market Share;Comercial;Fatia de mercado dominada por uma empresa ou produto.;Terciário
Market Share;Comercial e Vendas;Fatia de mercado detida pela empresa em relação ao total do setor.;Terciário
Market Share;Vendas;Fatia de mercado dominada pela empresa em relação aos concorrentes.;Terciário
Market Share;Mercado Financeiro;Fatia de mercado detida pela instituição em um segmento específico (ex: cartões).;Terciário
Market Share;Comercial;Quota de participação da empresa no mercado total.;Terciário
Market Share (Emplacamentos);Automobilístico;Participação de mercado baseada em dados oficiais de registros (ex: Renavam).;Secundário
Market Share (Segmento Embalagens);Indústria de Papel;Participação de mercado da empresa em relação aos concorrentes locais/globais.;Secundário
Market Share de Combustíveis;Petróleo;Participação de mercado da marca em relação aos concorrentes.;Primário (Extração) / Secundário (Refino)
Market Share de Insumos;Agricultura;Participação de uma marca de semente/químico dentro da área total plantada.;Primário
Market Share de Operadoras;Saúde;Participação de mercado de uma operadora em determinada região geográfica.;Terciário
Market Share Geográfico;Imobiliário;Participação da incorporadora em um bairro ou região específica.;Terciário
Market Share por Ramo;Seguros;Participação da seguradora no mercado total (ex: Ramo Auto, Ramo Vida).;Terciário
Marketing Mix Modeling (MMM);Marketing;Análise estatística para medir o impacto de vários canais de marketing nas vendas.;Terciário
Marketplace;Comercial e Vendas;Plataforma de terceiros onde a empresa anuncia e vende seus produtos.;Terciário
Marketplace Liquidity;Startups;Probabilidade de uma transação ocorrer entre oferta e demanda na plataforma.;Terciário (Majoritariamente)
Mark-to-Market (MTM);Mercado Financeiro;"Marcação a mercado; ajuste do valor de um ativo pelo seu preço atual de negociação.";Terciário
Markup;Indústria de Papel;Índice aplicado sobre o custo de produção para definir o preço de venda.;Secundário
Markup;Varejo;Índice aplicado sobre o custo de um produto para determinar seu preço de venda.;Terciário
Markup;Comercial e Vendas;Índice aplicado sobre o custo de um produto para definir seu preço de venda.;Terciário
Markup;Financeiro;Índice aplicado sobre o custo de um produto para definir seu preço de venda.;Terciário
Markup;Vendas;Índice aplicado sobre o custo de um produto para definir o preço de venda.;Terciário
Markup;Mercado Financeiro;Margem aplicada sobre o custo de um serviço financeiro para definir o preço final.;Terciário
Markup;Comercial;Índice aplicado sobre o custo para definir o preço de venda.;Terciário
Markup Comercial;Petróleo;Margem aplicada sobre o custo de aquisição/refino para venda final.;Primário (Extração) / Secundário (Refino)
Markup Imobiliário;Imobiliário;Índice aplicado sobre o custo da obra para definir o preço de venda.;Terciário
Markup vs Margin;Varejo;Diferenciação contábil essencial entre o que se adiciona ao custo e o que se ganha sobre a venda.;Terciário
Marmoreio;Pecuária;Gordura intramuscular que agrega valor gastronômico e prêmio em BI.;Primário
Massa Salarial;Recursos Humanos;Soma total de salários pagos pela empresa.;Terciário
Massa Salarial Real;Macroeconomia;Soma de todos os salários da economia ajustados pela inflação.;Terciário (Serviços/Administração)
Master Data Management (MDM);Governança;Processo de padronização dos dados mestres da empresa.;Terciário
Master Plan;Imobiliário;Planejamento de longo prazo para grandes áreas urbanas ou condomínios.;Terciário
Matéria Seca por Hectare;Pecuária;Volume de pastagem disponível para o gado em determinada área.;Primário
Material Yield;Automobilístico;Eficiência no uso de matérias-primas (ex: bobinas de aço).;Secundário
Matrícula Ativa;Governo;Métrica de demanda por vagas na rede pública de ensino.;Terciário
Matriz de Riscos Governamentais;Governo;Mapeamento de eventos que podem comprometer metas públicas.;Terciário
Maturidade Digital;Supply Chain;Nível de automação e uso de IA nos processos logísticos.;Terciário
MAU (Monthly Active Users);Tecnologia;Utilizadores únicos que interagiram com a aplicação nos últimos 30 dias.;Terciário
MAU (Monthly Active Users);Startups;"Usuários ativos em um mês; métrica base para escala.";Terciário (Majoritariamente)
Maus-tratos (Indicadores);Segurança Pública;Ocorrências envolvendo crianças, idosos ou animais.;Terciário
MDR (Merchant Discount Rate);Bancário/Fintech;Taxa cobrada do lojista por cada transação de cartão.;Terciário
Mean Time Between Failures (MTBF);Tecnologia;Tempo médio de bom funcionamento entre duas falhas de sistema.;Terciário
Mean Time to Detect (MTTD);Tecnologia;Tempo médio que a equipa leva para perceber que ocorreu um incidente.;Terciário
Mean Time to Repair (MTTR);Tecnologia;Tempo médio gasto para reparar um sistema após uma falha.;Terciário
Measure (Medida/Métrica);BI Técnico;Dados quantitativos que podem ser somados ou calculados.;Terciário
Média Móvel (MA);Bolsa de Valores;Indicador que suaviza a flutuação de preços para identificar tendências.;Terciário
Mediação de Conflitos;Segurança Pública;Número de ocorrências resolvidas sem necessidade de força física ou prisão.;Terciário
Medicação Beira-Leito;Saúde;Processo de checagem digital para evitar erros de administração.;Terciário
Medical Loss Ratio (MLR);Saúde;Percentual do prêmio do seguro gasto em cuidados clínicos e melhoria da qualidade.;Terciário
Medidas Protecionistas;Macroeconomia;Ações para proteger a indústria nacional da concorrência externa.;Terciário (Serviços/Administração)
Memorial Descritivo;Imobiliário;Documento técnico que define os materiais (base para auditoria de custos).;Terciário
Memory Leak;Tecnologia;Falha de gestão de memória que causa degradação de performance ao longo do tempo.;Terciário
Mercado Aberto (Open Market);Macroeconomia;Compra e venda de títulos públicos pelo BC para controlar a liquidez.;Terciário (Serviços/Administração)
Mercado de Capitais;Macroeconomia;Sistema de distribuição de valores mobiliários para financiar empresas.;Terciário (Serviços/Administração)
Mercado Fracionário;Bolsa de Valores;Ambiente onde é possível negociar ações em quantidades inferiores ao lote padrão.;Terciário
Merchant Churn;Bancário/Fintech;Taxa de lojistas que deixam de usar a maquininha/gateway.;Terciário
Meta de Inflação;Governo;Objetivo definido pelo Conselho Monetário Nacional para o IPCA.;Terciário
Meta Fiscal;Macroeconomia;Objetivo de resultado das contas públicas definido na LDO.;Terciário (Serviços/Administração)
Metadata (Metadados);TI;Dados sobre os dados (ex: data de criação de um arquivo).;Terciário
Micro-fulfillment;Logística;Pequenos centros de distribuição urbanos para acelerar o Last Mile.;Terciário
Microservices Architecture;Tecnologia;Desenvolvimento de software como um conjunto de pequenos serviços independentes.;Terciário
Middle of Funnel (MoFu);Marketing;Etapa de consideração e intenção (Conversão).;Terciário
Middle of the Funnel (MoFu);Comercial;Meio do funil (fase de consideração e solução).;Terciário
Milk Run;Logística;Sistema de coleta programada de materiais em diversos fornecedores com um único veículo.;Terciário
Milk Run;Supply Chain;Sistema de coleta programada de materiais em diversos fornecedores com um único veículo.;Terciário
Milk Run;Supply Chain;Roteiro otimizado para coleta de insumos em múltiplos fornecedores.;Terciário
Milk Run Performance;Automobilístico;Eficiência da rota logística planejada para coleta de peças em vários fornecedores.;Secundário
Minimum Order Quantity (MOQ);Varejo;Quantidade mínima que o fornecedor exige para realizar um pedido.;Terciário
MIP (Manejo Integrado de Pragas);Agricultura;Estratégia de controle baseada em limiares econômicos e dados de campo.;Primário
Mix de Carteira;Seguros;Distribuição percentual da receita entre diferentes produtos (Auto, Vida, RE).;Terciário
Mix de Modal de Transporte;Petróleo;Distribuição entre dutos, navios, trens e caminhões.;Primário (Extração) / Secundário (Refino)
Mix de Produtos;Comercial e Vendas;Variedade de produtos oferecidos por uma empresa ou unidade de negócio.;Terciário
Mix de Produtos;Automobilístico;Proporção de vendas entre modelos de entrada, intermediários e luxo.;Secundário
Mix de Produtos (Paper Grade Mix);Indústria de Papel;Proporção de vendas entre papel Kraft, Offset, Tissue, etc.;Secundário
Mixed-use (Uso Misto);Imobiliário;Empreendimentos que combinam residencial, comercial e varejo.;Terciário
Mobile App Installs;Tecnologia;Número de novos downloads e instalações da aplicação móvel.;Terciário
Mobile Marketing;Marketing;Estratégias voltadas especificamente para dispositivos móveis.;Terciário
Modais de Transporte;Macroeconomia;Estrutura logística (ferroviário, rodoviário, etc.) que impacta o custo Brasil.;Terciário (Serviços/Administração)
Model Year (MY) vs Calendar Year (CY);Automobilístico;Diferenciação entre o ano do modelo e o ano civil de produção.;Secundário
Modernização Tecnológica (ROI);Segurança Pública;Retorno sobre investimento em softwares e equipamentos de ponta.;Terciário
Moeda Funcional;Macroeconomia;Moeda do ambiente econômico principal onde a entidade opera.;Terciário (Serviços/Administração)
Monitoramento de Grupos Vulneráveis;Segurança Pública;Foco em crimes contra comunidades LGBTQIA+, quilombolas, etc.;Terciário
Monitoramento de Torcidas;Segurança Pública;Gestão de dados de integrantes de torcidas organizadas para prevenção de brigas.;Terciário
Monitoramento por Tornozeleira;Segurança Pública;KPI de violações de perímetro por monitorados eletronicamente.;Terciário
Montante Residual;Financeiro;Valor estimado de um ativo ao final de sua vida útil.;Terciário
Monthly Active Payers (MAP);Startups;Segmento de usuários que efetivamente geram receita mensal (Freemium).;Terciário (Majoritariamente)
Mora;Imobiliário;Atraso no pagamento das parcelas por parte do comprador.;Terciário
Mortalidade Infantil;Governo;KPI crítico de saúde pública e qualidade de vida.;Terciário
Mortalidade Pré-parto;Pecuária;Perda de bezerros durante a gestação ou logo após o nascimento.;Primário
MQL (Marketing Qualified Lead);Comercial e Vendas;Contatos que o marketing considera prontos para serem abordados por vendas.;Terciário
MQL (Marketing Qualified Lead);Marketing;Lead que demonstrou interesse e está pronto para nutrição específica.;Terciário
MQL (Marketing Qualified Lead);Vendas;Lead que já interagiu com o marketing e está pronto para ser avaliado por vendas.;Terciário
MQL (Marketing Qualified Lead);Startups;Lead que demonstrou interesse e foi filtrado pelo marketing.;Terciário (Majoritariamente)
MQL (Marketing Qualified Lead);Comercial;Lead que demonstrou interesse e foi filtrado pelo marketing.;Terciário
MRR (Monthly Recurring Revenue);SaaS;Receita recorrente mensal de assinaturas.;Terciário
MRR (Monthly Recurring Revenue);Comercial e Vendas;Receita mensal recorrente, comum em modelos de assinatura (SaaS).;Terciário
MRR (Monthly Recurring Revenue);Vendas;Receita recorrente mensal, comum em modelos de assinatura (SaaS).;Terciário
MRR (Monthly Recurring Revenue);Startups;"Receita Mensal Recorrente; a base de faturamento previsível de modelos SaaS.";Terciário (Majoritariamente)
MRR (Monthly Recurring Revenue);Comercial;Receita recorrente mensal (comum em SaaS).;Terciário
MTBF (Mean Time Between Failures);Indústria de Papel;Tempo médio entre falhas, indicador crítico para manutenção preditiva.;Secundário
MTBF (Mean Time Between Failures);Automobilístico;Tempo médio entre falhas de equipamentos críticos da planta.;Secundário
MTTR (Mean Time To Repair);Indústria de Papel;Tempo médio para reparo após uma ocorrência de parada.;Secundário
MTTR (Mean Time to Repair);Automobilístico;Tempo médio de reparo após uma quebra técnica.;Secundário
Multimodalidade;Logística;Uso de vários modais de transporte sob um único contrato.;Terciário
Multimodalidade;Supply Chain;Uso de mais de um modal de transporte com um único contrato.;Terciário
Multiplicador Bancário;Macroeconomia;Capacidade dos bancos de criar moeda através de empréstimos.;Terciário (Serviços/Administração)
Multitenancy;Tecnologia;Arquitetura onde uma única instância de software atende múltiplos clientes.;Terciário
MVP (Minimum Viable Product);Startups;Versão simplificada do produto para teste de hipóteses com usuários reais.;Terciário (Majoritariamente)
NAIRU;Macroeconomia;Taxa de desemprego que não acelera a inflação.;Terciário (Serviços/Administração)
Narcotráfico (Rotas de Fluxo);Segurança Pública;Análise de BI sobre a origem e destino de drogas apreendidas.;Terciário
Narcotráfico (Volume de Apreensões);Segurança Pública;Peso de entorpecentes apreendidos segmentado por tipo e região.;Terciário
Native Advertising;Marketing;Anúncios que se parecem com o conteúdo editorial da plataforma.;Terciário
Natural Language Processing (NLP);Tecnologia;Tecnologia de IA que permite às máquinas processar a linguagem humana.;Terciário
Navio-Aliviante (Offtake);Petróleo;Eficiência no transbordo de óleo da plataforma para o navio de transporte.;Primário (Extração) / Secundário (Refino)
NDVI (Índice de Vegetação);Pecuária;Uso de satélite para medir o vigor e disponibilidade de pastagem.;Primário
NDVI (Normalized Difference Vegetation Index);Agricultura;Índice de vigor vegetativo calculado via sensoriamento remoto para monitorar saúde da cultura.;Primário
Negative Churn;Startups;Quando a expansão da receita da base atual supera o valor perdido por cancelamentos.;Terciário (Majoritariamente)
Negative File (Negativação);Bancário/Fintech;Envio do nome do cliente inadimplente para birôs como Serasa/Boa Vista.;Terciário
Net Churn;Tecnologia;Churn total de receita menos a receita de expansão da base atual.;Terciário
Net Debt;Financeiro;"Dívida Líquida; dívida total menos caixa e equivalentes de caixa.";Terciário
Net Inflow;Mercado Financeiro;"Entrada líquida; diferença entre captações (entradas) e resgates (saídas).";Terciário
Net Promoter Score (E-NPS);Startups;"NPS aplicado aos funcionários; mede a saúde da cultura interna.";Terciário (Majoritariamente)
Net Promoter Score (NPS);Indústria de Papel;Nível de satisfação e lealdade dos clientes de papel e embalagem.;Secundário
Net Promoter Score (NPS);Comercial e Vendas;Métrica que mede o nível de lealdade e satisfação dos clientes.;Terciário
Net Promoter Score (NPS);Vendas;Métrica de satisfação que mede a probabilidade de recomendação do cliente.;Terciário
Net Promoter Score (NPS);Bancário/Fintech;Nível de satisfação e lealdade dos clientes com o banco.;Terciário
Net Promoter Score (NPS);Seguros;Nível de satisfação e lealdade dos segurados e corretores.;Terciário
Net Revenue Retention (NRR);Startups;Percentual de receita retida da base atual, incluindo expansões e descontando churn.;Terciário (Majoritariamente)
Net Revenue Retention (NRR);Comercial;Percentual de receita mantida de clientes existentes após expansões e churn.;Terciário
Net Sales (Vendas Líquidas);Varejo;Receita bruta menos devoluções, abatimentos e impostos diretos.;Terciário
Net Sales (Vendas Líquidas);Vendas;Faturamento bruto menos devoluções, cancelamentos e impostos diretos.;Terciário
Network Effect (Efeito de Rede);Startups;Quando o produto ganha mais valor à medida que mais pessoas o utilizam.;Terciário (Majoritariamente)
Network Latency;Tecnologia;Atraso na comunicação de dados através de uma rede.;Terciário
NFS-e / CT-e;Logística;Documentos fiscais eletrônicos essenciais para o compliance e tracking.;Terciário
NIM (Net Interest Margin);Mercado Financeiro;"Margem líquida de juros; diferença entre a receita de juros e as despesas de juros.";Terciário
NIM (Net Interest Margin);Bancário/Fintech;"Margem líquida de juros; a diferença entre os juros recebidos e os juros pagos aos captadores.";Terciário
Nível de Inventário (WIP);Indústria de Papel;Volume de trabalho em processo entre as etapas de polpa, papel e conversão.;Secundário
Nível de Serviço;Supply Chain;Probabilidade de atender a demanda sem ocorrência de faltas.;Terciário
Nível de Serviço Logístico;Indústria de Papel;Percentual de pedidos atendidos sem ocorrências.;Secundário
Nível de Serviço Logístico;Logística;Indicador qualitativo da satisfação do cliente em relação à entrega.;Terciário
Nível de Tanque de Combustível;Agricultura;Gestão de estoque de diesel para evitar paradas em pico de safra.;Primário
No-Show;Comercial e Vendas;Quando um prospect não comparece a uma reunião ou demonstração agendada.;Terciário
No-show Rate;Vendas;Taxa de clientes que agendaram uma reunião/demonstração e não compareceram.;Terciário
NoSQL Databases;Tecnologia;Bases de dados não relacionais otimizadas para escala e dados flexíveis.;Terciário
Nota de Corretagem;Bolsa de Valores;Documento que detalha as operações realizadas e os custos envolvidos.;Terciário
Nota de Crédito (Rating);Governo;Avaliação do risco de inadimplência do ente federativo.;Terciário
Nota de Crédito Soberano;Macroeconomia;Avaliação do risco de um país não pagar sua dívida pública.;Terciário (Serviços/Administração)
NPI (Net Operating Income);Imobiliário;Receita operacional líquida gerada por um imóvel alugado.;Terciário
NPL (Non-Performing Loans);Mercado Financeiro;Proporção de empréstimos com pagamentos atrasados (inadimplência acima de 90 dias).;Terciário
NPL (Non-Performing Loans);Bancário/Fintech;Empréstimos em que o devedor não realiza pagamentos há mais de 90 dias.;Terciário
NPS (Net Promoter Score);Varejo;Métrica que mede a lealdade e satisfação do cliente através de uma escala de recomendação.;Terciário
NPS (Net Promoter Score);Atendimento;Métrica que mede a lealdade e satisfação dos clientes.;Terciário
NPS (Net Promoter Score);Marketing;Métrica de lealdade que mede a probabilidade de recomendação da marca.;Terciário
NPS (Net Promoter Score);Mercado Financeiro;Métrica de satisfação e lealdade do cliente bancário.;Terciário
NPS (Net Promoter Score);Startups;"Métrica de satisfação: ""O quanto você recomendaria nossa startup?"".";Terciário (Majoritariamente)
NPS (Net Promoter Score);Comercial;Métrica de lealdade e satisfação do cliente.;Terciário
NPS (Net Promoter Score);Imobiliário;Nível de satisfação do cliente no pós-venda e entrega das chaves.;Terciário
NPS (Net Promoter Score);Automobilístico;"Métrica de lealdade; o quanto o cliente recomendaria a marca.";Secundário
NPS (Net Promoter Score) do Paciente;Saúde;Nível de recomendação do hospital/clínica pelos pacientes atendidos.;Terciário
NPT (Non-Productive Time);Petróleo;Tempo perdido em operações de perfuração devido a falhas ou problemas técnicos.;Primário (Extração) / Secundário (Refino)
NPV de Reservatório;Petróleo;Valor Presente Líquido estimado das reservas provadas de um campo.;Primário (Extração) / Secundário (Refino)
NVH (Noise, Vibration, Harshness) Data;Automobilístico;Dados técnicos sobre ruído e vibração coletados em testes de qualidade.;Secundário
Objection Handling;Comercial;Técnicas para contornar dúvidas ou recusas do cliente.;Terciário
Objectivo de Venda (Quotas);Vendas;Meta numérica estabelecida para um vendedor ou equipe.;Terciário
Obsolescência de Estoque;Automobilístico;Risco de peças de modelos antigos perderem valor ou utilidade.;Secundário
OCDE;Macroeconomia;"Organização para a Cooperação e Desenvolvimento Econômico (""Clube dos Ricos"").";Terciário (Serviços/Administração)
Ocorrências de Trânsito com Vítima;Segurança Pública;Cruzamento de fiscalização e acidentalidade em vias urbanas.;Terciário
OCR / LPR;Segurança Pública;Leitura automática de placas para identificação de veículos furtados ou roubados.;Terciário
Ocupação de Armazém;Indústria de Papel;Percentual de uso da capacidade total de estocagem de produtos acabados.;Secundário
Ocupação de Armazém;Supply Chain;Percentual de posições-palete ou área utilizada em relação à capacidade total.;Terciário
Ocupação de Centro Cirúrgico;Saúde;Percentual de tempo em que as salas de cirurgia estão sendo efetivamente usadas.;Terciário
Ocupação de Frota;Logística;Percentual da capacidade de carga do veículo que está sendo efetivamente utilizada.;Terciário
Ocupação de Heliponto;Petróleo;Logística de transporte de pessoal para unidades offshore.;Primário (Extração) / Secundário (Refino)
OEE (Overall Equipment Effectiveness);Indústria de Papel;Eficiência Global do Equipamento, medindo disponibilidade, performance e qualidade.;Secundário
OEE (Overall Equipment Effectiveness);Indústria;Mede a eficiência global de uma máquina ou linha de produção.;Secundário
OEE (Overall Equipment Effectiveness);Logística;Mede a eficiência global de equipamentos (ex: empilhadeiras ou esteiras automatizadas).;Terciário
OEE (Overall Equipment Effectiveness);Supply Chain;Métrica de produtividade que integra disponibilidade, performance e qualidade.;Terciário
OEE (Overall Equipment Effectiveness);Automobilístico;"Eficácia Global do Equipamento; mede disponibilidade, performance e qualidade da linha.";Secundário
OLAP (Online Analytical Processing);BI Técnico;Tecnologia que permite analisar dados sob várias perspectivas.;Terciário
OMC (Org. Mundial do Comércio);Macroeconomia;Regula as normas do comércio entre as nações.;Terciário (Serviços/Administração)
Omnichannel;Varejo;Integração total de canais de venda e comunicação (loja física, app, site).;Terciário
Omnichannel;Comercial e Vendas;Estratégia de integração total entre canais físicos e digitais.;Terciário
Omnichannel;Marketing;Estratégia de integração total entre canais online e offline.;Terciário
Omnichannel;Vendas;Estratégia de vendas que integra canais físicos e digitais de forma fluida.;Terciário
On-boarding Completion Rate;Tecnologia;Percentagem de utilizadores que completam o tutorial inicial da ferramenta.;Terciário
Onboarding Efficiency;Recursos Humanos;Tempo para o novo contratado atingir plena produtividade.;Terciário
Onboarding Time;Startups;Tempo médio que o cliente leva para implementar e começar a usar a solução.;Terciário (Majoritariamente)
On-premises;Infraestrutura;Software instalado em servidores locais da própria empresa.;Secundário (Obras) / Terciário (Serviços)
On-shelf Availability (OSA);Varejo;Indicador que mede a presença física do produto na prateleira para o cliente.;Terciário
OPA (Oferta Pública de Aquisição);Bolsa de Valores;Processo para fechamento de capital ou aquisição de controle de uma empresa.;Terciário
Opções (Options);Bolsa de Valores;Contratos que dão o direito de comprar ou vender um ativo a um preço fixo.;Terciário
Open Banking / Open Finance;Mercado Financeiro;Sistema de compartilhamento de dados financeiros entre instituições via APIs.;Terciário
Open Banking / Open Finance;Bancário/Fintech;Compartilhamento padronizado de dados de clientes entre instituições (via API).;Terciário
Open Government Data;Governo;Dados disponíveis em formatos abertos para reuso pela sociedade.;Terciário
Open Source Intelligence (OSINT);Segurança Pública;Coleta de dados em redes sociais para monitoramento de distúrbios civis.;Terciário
Open Source Usage;Tecnologia;Métrica de dependência e contribuição para projetos de código aberto.;Terciário
Open-to-Buy (OTB);Varejo;Plano de orçamento de compras para garantir o nível de estoque correto.;Terciário
Operação de Factoring;Financeiro;Antecipação de recebíveis por meio da venda de títulos a terceiros.;Terciário
Operações Compromissadas;Macroeconomia;Venda de títulos com compromisso de recompra pelo Banco Central.;Terciário (Serviços/Administração)
OPEX;Financeiro;Despesas operacionais contínuas para manter o negócio rodando diariamente.;Terciário
Opex (Operating Expenditure);Varejo;Despesas operacionais do dia a dia da operação varejista.;Terciário
Opex (Operational Expenditure);Indústria de Papel;Despesas operacionais contínuas para manter a fábrica rodando.;Secundário
Opex (Operational Expenditure);Mercado Financeiro;Despesas operacionais contínuas para manter o negócio funcionando.;Terciário
OPEX por BOE;Petróleo;Custos operacionais totais divididos por Barris de Óleo Equivalente.;Primário (Extração) / Secundário (Refino)
OPME (Órteses, Próteses e Materiais Especiais);Saúde;Materiais de alto custo que exigem auditoria rigorosa no BI financeiro.;Terciário
Opportunity (Oportunidade);Comercial e Vendas;Lead que já passou pela qualificação e está em fase de negociação ativa.;Terciário
Opportunity (Oportunidade);Vendas;Estágio avançado do funil onde existe uma negociação em curso.;Terciário
Opportunity Win Rate;Comercial;Taxa de oportunidades convertidas em vendas fechadas.;Terciário
Orçado vs Realizado;Imobiliário;Análise de desvio entre o custo planejado da obra e o gasto efetivo.;Terciário
Orçamento Participativo;Governo;Mecanismo de BI colaborativo onde o cidadão opina na alocação de verbas.;Terciário
Order Cycle Time;Logística;Tempo médio que leva para processar um pedido internamente.;Terciário
Order Cycle Time;Supply Chain;Tempo total do ciclo de vida de um pedido, do clique ao recebimento.;Terciário
Order Flow (Fluxo de Ordens);Bolsa de Valores;Análise das intenções de compra e venda no book de ofertas.;Terciário
Organic Reach;Marketing;Número de pessoas que viram o conteúdo sem investimento pago.;Terciário
Organic Traffic;Startups;Visitas ao site vindas de buscas ou acessos diretos, sem custo de mídia.;Terciário (Majoritariamente)
OTA (Over-the-Air) Updates;Automobilístico;Frequência e sucesso de atualizações de software remotas.;Secundário
OTIF (On-Time In-Full);Indústria de Papel;Pedidos entregues no prazo e na quantidade correta para o cliente de embalagens.;Secundário
OTIF (On-Time In-Full);Logística;Mede se o pedido foi entregue no prazo e sem faltas.;Terciário
OTIF (On-Time In-Full);Logística;Percentual de pedidos entregues no prazo e sem erros. O principal KPI de nível de serviço.;Terciário
OTIF (On-Time In-Full);Supply Chain;Percentual de pedidos entregues no prazo e com a quantidade/especificação correta.;Terciário
Otimização de Rota;Supply Chain;Uso de algoritmos para definir o trajeto mais curto ou rápido para entrega.;Terciário
Outage (Apagão);Tecnologia;Interrupção total de um serviço tecnológico por falha técnica.;Terciário
Outbound Logistics;Logística;Logística de saída, focada na distribuição dos produtos acabados aos clientes.;Terciário
Outbound Logistics Cost;Automobilístico;Custo de distribuição dos veículos acabados para as concessionárias.;Secundário
Outbound Marketing;Marketing;Abordagem ativa e direta de prospecção de clientes.;Terciário
Outbound Sales;Comercial e Vendas;Vendas proativas, onde o vendedor busca o cliente (ex: Cold Calling).;Terciário
Outbound Sales;Vendas;Prospecção ativa, onde a empresa vai até o cliente.;Terciário
Outbound Sales;Startups;Abordagem ativa de prospecção de clientes pelo time de vendas.;Terciário (Majoritariamente)
Outbound Sales;Comercial;Prospecção ativa onde a empresa vai até o cliente.;Terciário
Outlier;Estatística;Valor que foge drasticamente do padrão da amostra.;Terciário
Outlier de Ganho de Peso;Pecuária;Animais que fogem muito da média do lote (positiva ou negativamente).;Primário
Outlier de Vendas;Vendas;Ponto fora da curva (venda muito alta ou baixa) que distorce as médias.;Terciário
Outlier Detection;Mercado Financeiro;Identificação de valores atípicos que podem indicar erros de sistema ou fraudes.;Terciário
Out-of-Pocket Costs;Saúde;Despesas de saúde pagas diretamente pelo paciente, sem reembolso do seguro.;Terciário
Out-of-Stock (Ruptura);Comercial e Vendas;Falta de produto disponível no ponto de venda para pronta entrega.;Terciário
Out-of-stock Rate;Varejo;Percentual de itens que deveriam estar disponíveis, mas não estão.;Terciário
Outorga Onerosa;Imobiliário;Custo pago à prefeitura para construir acima do coeficiente básico.;Terciário
Output Gap (Hiato do Produto);Macroeconomia;Diferença entre o PIB real e o PIB potencial de uma economia.;Terciário (Serviços/Administração)
Overbought (Sobrecomprado);Bolsa de Valores;Situação técnica onde um ativo subiu demais e pode sofrer correção.;Terciário
Overdraft Usage;Bancário/Fintech;Frequência e volume de uso do cheque especial pelos clientes.;Terciário
Overhead;Financeiro;Custos indiretos necessários para manter o suporte administrativo da empresa.;Terciário
Overlap (Sobreposição);Agricultura;"Área onde houve aplicação dupla de insumo; representa custo desnecessário.";Primário
Overnight;Mercado Financeiro;Operações realizadas no mercado interfinanceiro com prazo de um dia.;Terciário
Overprice;Imobiliário;Diferença entre o preço de tabela e o valor fechado com o cliente.;Terciário
Oversold (Sobrevendido);Bolsa de Valores;Situação técnica onde um ativo caiu demais e pode sofrer repique.;Terciário
Over-target;Comercial e Vendas;Desempenho acima da meta estabelecida.;Terciário
Over-the-Counter (OTC);Petróleo;Negociações diretas fora de bolsa, comuns em grandes volumes de óleo.;Primário (Extração) / Secundário (Refino)
Overtime Expense;Recursos Humanos;Custo total de horas extras e seu impacto no orçamento.;Terciário
Overutilization;Saúde;Uso excessivo ou desnecessário de exames e procedimentos (desperdício).;Terciário
P&A (Plug and Abandon);Petróleo;Status de poços selados permanentemente por exaustão ou segurança.;Primário (Extração) / Secundário (Refino)
P&L (Profit and Loss);Financeiro;Demonstrativo de lucros e perdas.;Terciário
P&L (Profit and Loss);Comercial e Vendas;Demonstrativo de Lucros e Perdas de uma unidade de negócio ou canal.;Terciário
P&L (Profit and Loss);Financeiro;Demonstrativo de Resultados do Exercício (DRE).;Terciário
P&L (Profit and Loss);Vendas;Demonstrativo de lucros e perdas por centro de custo ou produto.;Terciário
P/L (Preço sobre Lucro);Mercado Financeiro;Múltiplo que indica quanto o mercado está disposto a pagar pelo lucro de uma empresa.;Terciário
P/L (Preço sobre Lucro);Bolsa de Valores;Múltiplo que indica quanto o mercado está disposto a pagar por cada real de lucro.;Terciário
P/VPA;Bolsa de Valores;Relação entre o preço da ação e o valor patrimonial por ação.;Terciário
PA (Peças por Atendimento);Varejo;Média de itens comprados por cada cliente em uma única transação.;Terciário
PAC (Preço de Aquisição do Cliente);Saúde;Custo de marketing e vendas para angariar um novo beneficiário de plano.;Terciário
Packing;Logística;Processo de embalagem dos produtos para envio.;Terciário
Packing;Supply Chain;Processo de embalagem dos produtos para envio.;Terciário
PACS (Picture Archiving and Communication System);Saúde;Sistema de armazenamento de imagens médicas (Raio-X, Tomografia).;Terciário
Padrão de Cocho;Pecuária;Métrica de pontuação sobre como o alimento está sendo distribuído.;Primário
Padrão de Interoperabilidade de Governo (e-PING);Governo;Arquitetura de TI para comunicação entre órgãos.;Terciário
Page Load Time;Tecnologia;Tempo que uma página web demora a carregar completamente no navegador.;Terciário
Paid Traffic;Startups;Tráfego gerado por anúncios (Google, Meta, LinkedIn).;Terciário (Majoritariamente)
